A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index
5.333333333333333,2.0,3.6666666666666665,4.666666666666667,1.3333333333333333,0.3333333333333333,0.25168343737097276,0.8228852290516082,17.333333333333332,26.333333333333332,3.0,83
5.0,3.0,3.0,3.6666666666666665,3.6666666666666665,1.3333333333333333,0.7550503121129183,0.8228852290516082,19.666666666666668,26.0,3.0,84
4.333333333333333,2.3333333333333335,2.0,3.3333333333333335,1.0,1.6666666666666667,0.7550503121129183,0.8228852290516082,14.666666666666666,25.333333333333332,3.0,85
4.0,3.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.0,0.7550503121129183,0.8228852290516082,14.333333333333334,25.0,3.0,86
4.333333333333333,1.6666666666666667,0.6666666666666666,3.6666666666666665,2.3333333333333335,0.3333333333333333,0.7550503121129183,0.8228852290516082,13.0,24.333333333333332,3.0,87
3.0,1.0,1.3333333333333333,1.6666666666666667,3.0,2.0,0.7550503121129183,0.661013458616732,12.0,24.0,3.0,88
2.3333333333333335,0.3333333333333333,0.6666666666666666,2.3333333333333335,3.0,1.3333333333333333,0.7550503121129183,0.8429081508122938,10.0,22.666666666666668,2.3333333333333335,89
0.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,0.7550503121129183,0.8429081508122938,5.0,22.0,2.0,90
0.3333333333333333,1.3333333333333333,0.0,2.0,0.0,1.0,0.22237105151089898,0.8429081508122938,4.666666666666667,22.666666666666668,2.6666666666666665,91
0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6671131545326969,0.8429081508122938,3.3333333333333335,23.0,3.0,92
0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6671131545326969,0.8429081508122938,0.6666666666666666,23.0,3.0,93
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,23.0,3.0,94
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,22.333333333333332,3.0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333333333333332,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.3333333333333335,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.333333333333332,2.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.666666666666668,2.0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,24
0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,18.0,2.0,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,26
